epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
65,592.654,0.61026,0.33633,0.91023,0.97643,0.9847,0.99312,0.71756,0.83978,0.31146,0.89374,0.000244389,0.000244389,0.000244389
66,602.334,0.58155,0.32114,0.89674,0.98459,0.98591,0.99139,0.7204,0.80018,0.30228,0.8573,0.000237785,0.000237785,0.000237785
67,610.975,0.61907,0.34132,0.91097,0.98731,0.98534,0.99443,0.72677,0.79288,0.28414,0.86505,0.000231182,0.000231182,0.000231182
68,619.732,0.60856,0.32314,0.91527,0.96943,0.99179,0.99293,0.69864,0.8765,0.31228,0.89777,0.000224579,0.000224579,0.000224579
69,628.254,0.5852,0.31396,0.90391,0.9832,0.98808,0.9933,0.7475,0.7622,0.28881,0.82481,0.000217976,0.000217976,0.000217976
70,637.059,0.58385,0.31521,0.90129,0.99067,0.98057,0.9944,0.71181,0.87177,0.30646,0.90361,0.000211372,0.000211372,0.000211372
71,645.737,0.58343,0.32177,0.89983,0.98685,0.99503,0.99464,0.74911,0.75502,0.2842,0.82413,0.000204769,0.000204769,0.000204769
72,654.348,0.58296,0.31666,0.89104,0.98482,0.98931,0.99421,0.7526,0.72536,0.26955,0.80519,0.000198166,0.000198166,0.000198166
73,663.332,0.57568,0.3107,0.89322,0.98269,0.99183,0.99197,0.75958,0.68662,0.27074,0.79643,0.000191562,0.000191562,0.000191562
74,673.079,0.57443,0.32073,0.89948,0.98221,0.98491,0.99255,0.75975,0.70289,0.27502,0.79785,0.000184959,0.000184959,0.000184959
75,682.564,0.55743,0.30672,0.89344,0.98345,0.98673,0.99171,0.74813,0.74023,0.2892,0.82409,0.000178356,0.000178356,0.000178356
76,691.194,0.56034,0.31454,0.89426,0.98605,0.97645,0.99375,0.73852,0.7893,0.29238,0.85215,0.000171752,0.000171752,0.000171752
77,699.683,0.53625,0.28816,0.88288,0.98636,0.99002,0.99162,0.73697,0.79859,0.29731,0.85948,0.000165149,0.000165149,0.000165149
78,708.163,0.51804,0.28878,0.87882,0.991,0.98501,0.99251,0.73715,0.79149,0.28558,0.85098,0.000158546,0.000158546,0.000158546
79,716.698,0.52289,0.28499,0.86695,0.98062,0.98671,0.99032,0.72439,0.80174,0.30546,0.86876,0.000151943,0.000151943,0.000151943
80,725.501,0.51754,0.28557,0.87511,0.98575,0.99424,0.99427,0.7723,0.69011,0.26647,0.79824,0.000145339,0.000145339,0.000145339
81,735.203,0.53818,0.29398,0.87967,0.98341,0.97071,0.9919,0.73863,0.78994,0.3022,0.85464,0.000138736,0.000138736,0.000138736
82,743.856,0.51924,0.28164,0.86842,0.98951,0.97688,0.9937,0.76363,0.70557,0.28053,0.81039,0.000132133,0.000132133,0.000132133
83,752.317,0.50673,0.28292,0.86591,0.98721,0.98534,0.99385,0.77638,0.66842,0.25644,0.78682,0.000125529,0.000125529,0.000125529
84,761.831,0.495,0.27863,0.86804,0.98531,0.98991,0.99207,0.75885,0.72982,0.28025,0.81933,0.000118926,0.000118926,0.000118926
85,770.772,0.50104,0.27314,0.86551,0.9888,0.98695,0.99359,0.75275,0.74009,0.278,0.82499,0.000112323,0.000112323,0.000112323
86,779.915,0.49531,0.27046,0.87026,0.9865,0.99138,0.99253,0.75754,0.71644,0.26955,0.80832,0.00010572,0.00010572,0.00010572
87,788.484,0.48619,0.2702,0.85949,0.98848,0.98482,0.99371,0.74119,0.78828,0.28937,0.85601,9.91162e-05,9.91162e-05,9.91162e-05
